File Name,Size (KB),Type,Modified Time,Path
7z2409-x64.exe,1598.97,.exe,2025-05-17 22:45:04.283019,C:\Bhavin\7z2409-x64.exe
7zxa.dll,222.14,.dll,2024-11-30 22:13:24.171057,C:\Bhavin\7zxa.dll
BraveBrowserSetup-BRV010.exe,1246.78,.exe,2025-05-15 13:13:08.823668,C:\Bhavin\BraveBrowserSetup-BRV010.exe
Buckshot.Roulette.v2.1.0-OFME.torrent,37.23,.torrent,2025-05-24 23:55:23.924199,C:\Bhavin\Buckshot.Roulette.v2.1.0-OFME.torrent
Default.SFX,453.0,.SFX,2025-03-20 15:31:29.157962,C:\Bhavin\Default.SFX
Default32.SFX,363.5,.SFX,2025-03-20 15:31:23.097002,C:\Bhavin\Default32.SFX
Descript.ion,1.66,.ion,2024-03-17 17:59:03.702955,C:\Bhavin\Descript.ion
EpicInstaller-18.5.0.msi,181356.0,.msi,2025-05-25 18:17:10.497513,C:\Bhavin\EpicInstaller-18.5.0.msi
Install VALORANT.exe,71686.23,.exe,2025-05-17 20:20:28.583520,C:\Bhavin\Install VALORANT.exe
License.txt,6.72,.txt,2014-05-22 22:01:40.930710,C:\Bhavin\License.txt
Order.htm,3.36,.htm,2025-03-21 15:28:27.200477,C:\Bhavin\Order.htm
Rar.exe,793.14,.exe,2025-03-20 15:31:50.765399,C:\Bhavin\Rar.exe
Rar.txt,109.3,.txt,2025-03-14 19:19:36.360882,C:\Bhavin\Rar.txt
RarExt.dll,633.64,.dll,2025-03-20 15:31:56.340515,C:\Bhavin\RarExt.dll
RarExt32.dll,526.14,.dll,2025-03-20 15:31:57.437113,C:\Bhavin\RarExt32.dll
RarExtInstaller.exe,206.14,.exe,2025-03-20 15:31:51.917850,C:\Bhavin\RarExtInstaller.exe
RarExtLogo.altform-unplated_targetsize-32.png,2.13,.png,2021-10-21 22:06:07.827979,C:\Bhavin\RarExtLogo.altform-unplated_targetsize-32.png
RarExtLogo.altform-unplated_targetsize-48.png,4.08,.png,2021-10-21 22:06:01.998287,C:\Bhavin\RarExtLogo.altform-unplated_targetsize-48.png
RarExtLogo.altform-unplated_targetsize-64.png,6.09,.png,2021-10-21 23:24:44.815204,C:\Bhavin\RarExtLogo.altform-unplated_targetsize-64.png
RarExtPackage.msix,23.87,.msix,2025-03-20 15:30:55.393248,C:\Bhavin\RarExtPackage.msix
RarFiles.lst,1.29,.lst,2024-06-09 18:08:38.227187,C:\Bhavin\RarFiles.lst
rarnew.dat,0.02,.dat,2025-05-17 22:49:34.025683,C:\Bhavin\rarnew.dat
ReadMe.txt,1.26,.txt,2021-07-14 20:48:43.965222,C:\Bhavin\ReadMe.txt
Resources.pri,1.6,.pri,2025-03-20 15:30:52.314541,C:\Bhavin\Resources.pri
Risk.of.Rain.2.v1.3.8-OFME.torrent,81.63,.torrent,2025-05-17 23:51:49.683319,C:\Bhavin\Risk.of.Rain.2.v1.3.8-OFME.torrent
SpotifySetup.exe,1419.42,.exe,2025-05-15 13:06:05.085313,C:\Bhavin\SpotifySetup.exe
Uninstall.exe,383.64,.exe,2025-03-21 15:34:04.450409,C:\Bhavin\Uninstall.exe
Uninstall.lst,0.77,.lst,2025-03-20 15:32:06.041235,C:\Bhavin\Uninstall.lst
UnRAR.exe,532.14,.exe,2025-03-20 15:31:54.091829,C:\Bhavin\UnRAR.exe
utweb_installer.exe,4433.01,.exe,2025-05-17 22:25:51.265792,C:\Bhavin\utweb_installer.exe
Valheim.v0.220.5-OFME.torrent,53.44,.torrent,2025-05-17 22:24:39.723718,C:\Bhavin\Valheim.v0.220.5-OFME.torrent
WhatsApp Video 2025-05-17 at 8.25.19 PM.mp4,2537.62,.mp4,2025-05-17 22:37:29.032595,C:\Bhavin\WhatsApp Video 2025-05-17 at 8.25.19 PM.mp4
WhatsApp Video 2025-05-17 at 8.27.16 PM.mp4,4012.16,.mp4,2025-05-17 22:39:11.845139,C:\Bhavin\WhatsApp Video 2025-05-17 at 8.27.16 PM.mp4
WhatsApp Video 2025-05-21 at 1.19.49 PM.mp4,792.29,.mp4,2025-05-22 02:07:08.272536,C:\Bhavin\WhatsApp Video 2025-05-21 at 1.19.49 PM.mp4
WhatsNew.txt,54.17,.txt,2025-03-20 14:09:00.008519,C:\Bhavin\WhatsNew.txt
WinCon.SFX,396.0,.SFX,2025-03-20 15:31:14.976197,C:\Bhavin\WinCon.SFX
WinCon32.SFX,319.0,.SFX,2025-03-20 15:31:06.209026,C:\Bhavin\WinCon32.SFX
winrar-x64-711.exe,3700.48,.exe,2025-05-17 22:49:07.519541,C:\Bhavin\winrar-x64-711.exe
WinRAR.chm,324.19,.chm,2025-03-20 15:31:46.214427,C:\Bhavin\WinRAR.chm
WinRAR.exe,3235.14,.exe,2025-03-21 15:34:24.950271,C:\Bhavin\WinRAR.exe
Zip.SFX,401.0,.SFX,2025-03-20 15:31:39.313129,C:\Bhavin\Zip.SFX
Zip32.SFX,326.0,.SFX,2025-03-20 15:31:34.038630,C:\Bhavin\Zip32.SFX
zipnew.dat,0.02,.dat,2025-05-17 22:49:34.026681,C:\Bhavin\zipnew.dat
Buckshot.Roulette.v2.1.0-OFME.rar,953258.48,.rar,2025-05-25 00:01:20.072385,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME.rar
Buckshot Roulette.exe,776211.84,.exe,2024-12-03 03:41:56.913497,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\Buckshot Roulette.exe
OnlineFix.ini,0.55,.ini,2025-05-25 00:04:04.236680,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\OnlineFix.ini
OnlineFix.url,0.04,.url,2019-09-23 22:13:58.735235,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\OnlineFix.url
OnlineFix64.dll,12774.5,.dll,2024-10-11 04:40:01.797281,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\OnlineFix64.dll
SteamOverlay64.dll,114.5,.dll,2023-09-04 17:43:32.066320,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\SteamOverlay64.dll
steam_api64.dll,295.5,.dll,2024-11-04 18:51:37.856759,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\steam_api64.dll
steam_api64.of,294.85,.of,2024-11-04 18:05:21.238317,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\steam_api64.of
70K.wav,12110.46,.wav,2024-12-03 03:41:40.525963,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\Original Soundtrack\Buckshot Roulette OST - Vol. I (Mike Klubnika)\70K.wav
Before Every Load.wav,28943.32,.wav,2024-12-03 03:41:40.814962,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\Original Soundtrack\Buckshot Roulette OST - Vol. I (Mike Klubnika)\Before Every Load.wav
Blank Shell.wav,23233.94,.wav,2024-12-03 03:41:41.070960,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\Original Soundtrack\Buckshot Roulette OST - Vol. I (Mike Klubnika)\Blank Shell.wav
cover.png,1182.68,.png,2024-12-03 03:41:40.375799,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\Original Soundtrack\Buckshot Roulette OST - Vol. I (Mike Klubnika)\cover.png
General Release.wav,23645.38,.wav,2024-12-03 03:41:41.322963,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\Original Soundtrack\Buckshot Roulette OST - Vol. I (Mike Klubnika)\General Release.wav
Monochrome LCD.wav,44890.19,.wav,2024-12-03 03:41:41.770760,C:\Bhavin\Buckshot Roulette\Buckshot.Roulette.v2.1.0-OFME\Buckshot Roulette\Original Soundtrack\Buckshot Roulette OST - Vol. I (Mike Klubnika)\Monochrome LCD.wav
